,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
122,ghana,gametocyte,PF3D7_0315700,0.0001967216,0.837395,0.218057,0.016034,0.073533,0.019148
123,ghana,gametocyte,PF3D7_1442600,0.0001968297,0.835367,0.214967,0.015722,0.073135,0.01882
124,ghana,gametocyte,PF3D7_0107300,0.0001968223,0.835118,0.214572,0.015736,0.073336,0.018843
125,ghana,gametocyte,PF3D7_0421900,0.000196708,0.834969,0.214216,0.015752,0.073534,0.018865
126,ghana,gametocyte,PF3D7_1415100,0.0001969578,0.836776,0.21733,0.015888,0.073103,0.018987
127,ghana,gametocyte,PF3D7_1344400,0.0001964866,0.834282,0.212912,0.015581,0.073181,0.018676
128,ghana,gametocyte,PF3D7_1026400,0.0001970001,0.836306,0.216631,0.015846,0.073147,0.018947
129,ghana,gametocyte,PF3D7_0404000,0.0001968057,0.835107,0.214537,0.015737,0.073355,0.018845
130,ghana,gametocyte,PF3D7_1342900,0.0001951151,0.826282,0.199755,0.015124,0.075714,0.018304
131,ghana,gametocyte,PF3D7_0405700,0.0001973517,0.836334,0.217063,0.015698,0.072318,0.01877
132,ghana,gametocyte,PF3D7_1322400,0.000196588,0.833636,0.212031,0.01556,0.073388,0.018666
133,ghana,gametocyte,PF3D7_1146300,0.0001966403,0.835248,0.214575,0.015739,0.073351,0.018844
134,ghana,gametocyte,PF3D7_0728700,0.0001968872,0.835091,0.2146,0.015734,0.073316,0.018841
135,ghana,gametocyte,PF3D7_1218000,0.0001969307,0.837411,0.218315,0.015808,0.072409,0.018877
136,ghana,gametocyte,PF3D7_1427100,0.0001967891,0.831687,0.209299,0.015628,0.074667,0.01879
137,ghana,gametocyte,PF3D7_0801900,0.0001954478,0.836534,0.215283,0.015738,0.073102,0.018813
138,ghana,gametocyte,PF3D7_1131700,0.0001968266,0.835094,0.214539,0.015737,0.073352,0.018844
139,ghana,gametocyte,PF3D7_1031900,0.0001969777,0.835008,0.21457,0.015733,0.073322,0.018841
140,ghana,gametocyte,PF3D7_1201400,0.0001965622,0.835379,0.214694,0.015737,0.073298,0.018838
141,ghana,gametocyte,PF3D7_1201700,0.0001967441,0.834333,0.21327,0.015716,0.073693,0.018837
142,ghana,gametocyte,PF3D7_0934600,0.0001967126,0.836358,0.216397,0.015847,0.073229,0.018947
143,ghana,gametocyte,PF3D7_1220700,0.0001962413,0.835604,0.214695,0.015743,0.073328,0.01884
144,ghana,gametocyte,PF3D7_0812900,0.000197135,0.834954,0.214657,0.015727,0.073264,0.018835
145,ghana,gametocyte,PF3D7_1473700,0.0001983494,0.833984,0.214468,0.015709,0.073246,0.018836
146,ghana,gametocyte,PF3D7_1139600,0.0001966962,0.831293,0.208613,0.015452,0.07407,0.018588
147,ghana,gametocyte,PF3D7_1216700,0.0001970665,0.836339,0.216757,0.015771,0.07276,0.018858
148,ghana,gametocyte,PF3D7_0408600,0.0001983219,0.832492,0.212147,0.015937,0.075122,0.019144
149,ghana,gametocyte,PF3D7_0610700,0.0001967519,0.835096,0.214461,0.015789,0.07362,0.018906
150,ghana,gametocyte,PF3D7_0925100,0.0001968883,0.835061,0.214555,0.015735,0.073338,0.018843
151,ghana,gametocyte,PF3D7_0207200,0.0001967609,0.834686,0.213833,0.015798,0.073882,0.018927
152,ghana,gametocyte,PF3D7_0919200,0.0001969074,0.835038,0.214539,0.015735,0.073344,0.018844
153,ghana,gametocyte,PF3D7_1022300,0.0001969569,0.834239,0.213355,0.015859,0.074329,0.01901
