,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
57,ghana,trophozoite,PF3D7_0629700,4.8539e-05,0.957511,0.236404,0.003729,0.015776,0.003895
58,ghana,trophozoite,PF3D7_0104100,4.88751e-05,0.946347,0.18631,0.003506,0.018821,0.003705
59,ghana,trophozoite,PF3D7_1212800,4.87342e-05,0.952845,0.212824,0.004062,0.019087,0.004263
60,ghana,trophozoite,PF3D7_1021900,4.85304e-05,0.953628,0.215689,0.004125,0.019125,0.004326
61,ghana,trophozoite,PF3D7_1132000,4.87219e-05,0.953425,0.215552,0.004106,0.01905,0.004307
62,ghana,trophozoite,PF3D7_1238000,4.87379e-05,0.952545,0.21143,0.004022,0.019022,0.004222
63,ghana,trophozoite,PF3D7_0931600,4.87131e-05,0.95242,0.210737,0.004046,0.019198,0.004248
64,ghana,schizont,PF3D7_0303200,0.0001455005,0.848943,0.176725,0.002732,0.015461,0.003219
65,ghana,schizont,PF3D7_0217500,0.0001455254,0.849714,0.177823,0.002719,0.015288,0.003199
66,ghana,schizont,PF3D7_0508100,0.0001455208,0.847427,0.174681,0.002697,0.015438,0.003182
67,ghana,schizont,PF3D7_1327400,0.0001455424,0.849088,0.176976,0.002703,0.015275,0.003184
68,ghana,schizont,PF3D7_0404900,0.0001455033,0.847541,0.174814,0.002672,0.015283,0.003152
69,ghana,schizont,PF3D7_0317300,0.0001455664,0.843193,0.169168,0.002536,0.014994,0.003008
70,ghana,schizont,PF3D7_1209300,0.0001455419,0.845923,0.172694,0.002462,0.014257,0.00291
71,ghana,schizont,PF3D7_0627100,0.000145497,0.848684,0.176364,0.002736,0.015516,0.003224
72,ghana,schizont,PF3D7_0932200,0.0001454991,0.848052,0.175503,0.002691,0.015334,0.003173
73,ghana,schizont,PF3D7_0626400,0.0001455222,0.848129,0.175635,0.002699,0.015367,0.003182
74,ghana,schizont,PF3D7_1107300,0.0001455837,0.857054,0.188644,0.002747,0.014562,0.003205
75,ghana,schizont,PF3D7_0304200,0.0001455297,0.849289,0.177238,0.002718,0.015335,0.0032
76,ghana,schizont,PF3D7_1435300,0.0001454899,0.849216,0.177088,0.002819,0.015916,0.003319
