,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
113,ghana,gametocyte,PF3D7_1245800,1.19027e-05,0.990417,0.246026,0.018689,0.075965,0.01887
114,ghana,gametocyte,PF3D7_1033500,1.1928e-05,0.990566,0.250489,0.018588,0.074206,0.018765
115,ghana,gametocyte,PF3D7_0418800,1.19188e-05,0.990357,0.244826,0.018787,0.076735,0.01897
116,ghana,gametocyte,PF3D7_1407400,1.1943e-05,0.990297,0.243783,0.018734,0.076845,0.018917
117,ghana,gametocyte,PF3D7_1362600,1.19384e-05,0.990376,0.245698,0.018799,0.076511,0.018981
118,ghana,gametocyte,PF3D7_0307900,1.20185e-05,0.990345,0.246558,0.01866,0.075683,0.018842
119,ghana,gametocyte,PF3D7_0916700,1.19215e-05,0.990404,0.246087,0.018864,0.076656,0.019047
120,ghana,gametocyte,PF3D7_0912100,1.19418e-05,0.990415,0.246783,0.018732,0.075905,0.018913
121,ghana,gametocyte,PF3D7_0107100,1.19402e-05,0.990341,0.244852,0.018682,0.076298,0.018864
122,ghana,gametocyte,PF3D7_0315700,1.19175e-05,0.99045,0.247205,0.018987,0.076808,0.01917
123,ghana,gametocyte,PF3D7_1442600,1.2035e-05,0.990327,0.246427,0.018661,0.075727,0.018843
124,ghana,gametocyte,PF3D7_0107300,1.19227e-05,0.990354,0.244815,0.018683,0.076314,0.018865
125,ghana,gametocyte,PF3D7_0421900,1.19367e-05,0.990326,0.244402,0.018705,0.076532,0.018887
126,ghana,gametocyte,PF3D7_1415100,1.19189e-05,0.990412,0.246243,0.018827,0.076456,0.019009
127,ghana,gametocyte,PF3D7_1344400,1.1944e-05,0.990195,0.241243,0.018515,0.076747,0.018698
128,ghana,gametocyte,PF3D7_1026400,1.192e-05,0.990411,0.24622,0.018788,0.076305,0.01897
129,ghana,gametocyte,PF3D7_0404000,1.19316e-05,0.990339,0.244628,0.018684,0.076379,0.018867
130,ghana,gametocyte,PF3D7_1342900,1.20371e-05,0.989659,0.230398,0.018136,0.078718,0.018326
131,ghana,gametocyte,PF3D7_0405700,1.19104e-05,0.9906,0.251034,0.018616,0.074159,0.018793
132,ghana,gametocyte,PF3D7_1322400,1.1949e-05,0.990358,0.245457,0.018507,0.0754,0.018688
133,ghana,gametocyte,PF3D7_1146300,1.19403e-05,0.990335,0.244694,0.018683,0.076354,0.018866
134,ghana,gametocyte,PF3D7_0728700,1.19226e-05,0.99036,0.244974,0.018681,0.076257,0.018863
135,ghana,gametocyte,PF3D7_1218000,1.19255e-05,0.990457,0.247537,0.018719,0.075621,0.018899
136,ghana,gametocyte,PF3D7_1427100,1.1943e-05,0.990215,0.241731,0.018629,0.077064,0.018813
137,ghana,gametocyte,PF3D7_0801900,1.20407e-05,0.990349,0.24711,0.018654,0.075487,0.018835
138,ghana,gametocyte,PF3D7_1131700,1.19336e-05,0.990339,0.244652,0.018684,0.07637,0.018866
139,ghana,gametocyte,PF3D7_1031900,1.19115e-05,0.990367,0.244925,0.018682,0.076277,0.018864
140,ghana,gametocyte,PF3D7_1201400,1.19648e-05,0.990333,0.245133,0.018678,0.076194,0.01886
141,ghana,gametocyte,PF3D7_1201700,1.19318e-05,0.990293,0.243452,0.018676,0.076713,0.018859
142,ghana,gametocyte,PF3D7_0934600,1.1932e-05,0.990382,0.245735,0.018787,0.076451,0.018969
143,ghana,gametocyte,PF3D7_1220700,1.19465e-05,0.990342,0.24499,0.01868,0.076248,0.018862
144,ghana,gametocyte,PF3D7_0812900,1.19007e-05,0.990395,0.245433,0.018677,0.076099,0.018858
145,ghana,gametocyte,PF3D7_1473700,1.18786e-05,0.990409,0.245331,0.018679,0.076138,0.01886
146,ghana,gametocyte,PF3D7_1139600,1.19461e-05,0.990174,0.240752,0.018427,0.07654,0.01861
147,ghana,gametocyte,PF3D7_1216700,1.19215e-05,0.990474,0.247909,0.0187,0.075433,0.01888
148,ghana,gametocyte,PF3D7_0408600,1.18621e-05,0.99039,0.244505,0.018983,0.07764,0.019168
149,ghana,gametocyte,PF3D7_0610700,1.19358e-05,0.99033,0.244474,0.018745,0.076676,0.018928
150,ghana,gametocyte,PF3D7_0925100,1.19274e-05,0.990348,0.244773,0.018683,0.076328,0.018865
151,ghana,gametocyte,PF3D7_0207200,1.19351e-05,0.99034,0.24471,0.018766,0.076688,0.018949
152,ghana,gametocyte,PF3D7_0919200,1.19218e-05,0.990351,0.244723,0.018684,0.076347,0.018866
153,ghana,gametocyte,PF3D7_1022300,1.19267e-05,0.990326,0.244186,0.018848,0.077186,0.019032
154,ghana,ookinete,PF3D7_1116800,1.57557e-05,0.989993,0.31175,0.019185,0.061541,0.019379
155,ghana,ookinete,PF3D7_1024000,1.58977e-05,0.989909,0.311916,0.018866,0.060484,0.019058
156,ghana,ookinete,PF3D7_0512400,1.58778e-05,0.989804,0.308274,0.0185,0.060013,0.018691
157,ghana,ookinete,PF3D7_0814700,1.5834e-05,0.98982,0.30792,0.018527,0.060169,0.018718
158,ghana,ookinete,PF3D7_0507300,1.58299e-05,0.989601,0.301294,0.017512,0.058122,0.017696
159,ghana,ookinete,PF3D7_1024100,1.60285e-05,0.989702,0.308102,0.017817,0.057829,0.018003
160,ghana,ookinete,PF3D7_1342600,1.57795e-05,0.990149,0.31721,0.019217,0.060581,0.019408
161,ghana,ookinete,PF3D7_0417100,1.58734e-05,0.989786,0.307648,0.018365,0.059696,0.018555
162,ghana,ookinete,PF3D7_1139100,1.61004e-05,0.989475,0.302717,0.018025,0.059545,0.018217
163,ghana,ookinete,PF3D7_0518900,1.58503e-05,0.989788,0.307268,0.018369,0.05978,0.018558
164,ghana,ookinete,PF3D7_1362100,1.58409e-05,0.989802,0.307493,0.018367,0.059733,0.018557
165,ghana,ookinete,PF3D7_1422900,1.58489e-05,0.989779,0.306959,0.018651,0.06076,0.018843
166,ghana,ookinete,PF3D7_0507400,1.58504e-05,0.98983,0.308538,0.018475,0.059878,0.018664
167,ghana,ookinete,PF3D7_0519800,1.58754e-05,0.989809,0.308369,0.018361,0.059541,0.01855
168,ghana,ookinete,PF3D7_1407600,1.61276e-05,0.988471,0.276555,0.016514,0.059714,0.016707
