,country,stage,excluded_gene,Q,alpha,omega,adaptive_divergence,neutral_divergence,selected_divergence
3,ghana,sporozoite,PF3D7_0902900,0.0009869064,0.356708,0.119256,0.009245,0.077526,0.025919
4,ghana,sporozoite,PF3D7_0304700,0.000988966,0.357682,0.120012,0.009413,0.078433,0.026316
5,ghana,sporozoite,PF3D7_0407600,0.00099537,0.353444,0.118576,0.009284,0.078297,0.026268
6,ghana,sporozoite,PF3D7_1468400,0.000992076,0.378828,0.131847,0.010483,0.079508,0.027672
7,ghana,sporozoite,PF3D7_1201300,0.0009876585,0.355379,0.118657,0.009423,0.079414,0.026515
8,ghana,sporozoite,PF3D7_0829600,0.0009865504,0.33955,0.11053,0.008851,0.080082,0.026068
9,ghana,sporozoite,PF3D7_1475400,0.0009855424,0.361267,0.121474,0.00933,0.076803,0.025824
10,ghana,sporozoite,PF3D7_1131900,0.0009892621,0.376889,0.130394,0.010135,0.077724,0.026891
11,ghana,sporozoite,PF3D7_0212600,0.0009873211,0.373525,0.128283,0.010227,0.079723,0.02738
12,ghana,sporozoite,PF3D7_1444700,0.000987466,0.352639,0.11722,0.009381,0.080025,0.026601
13,ghana,sporozoite,PF3D7_1408300,0.0009876141,0.351464,0.116636,0.009318,0.079892,0.026513
14,ghana,sporozoite,PF3D7_0421800,0.0009882127,0.359118,0.120672,0.009562,0.079239,0.026626
15,ghana,sporozoite,PF3D7_1017500,0.0009883725,0.352819,0.11742,0.009422,0.080244,0.026706
16,ghana,sporozoite,PF3D7_0629300,0.0009835717,0.426777,0.159581,0.011648,0.072993,0.027294
17,ghana,sporozoite,PF3D7_0202100,0.000988443,0.345107,0.113509,0.008954,0.078883,0.025946
18,ghana,sporozoite,PF3D7_1476100,0.0009878305,0.360228,0.121208,0.009453,0.077992,0.026242
19,ghana,sporozoite,PF3D7_1302200,0.0009870432,0.357235,0.119546,0.009566,0.080021,0.026778
20,ghana,sporozoite,PF3D7_0830300,0.000987621,0.330215,0.106108,0.008462,0.079745,0.025624
21,ghana,sporozoite,PF3D7_1132100,0.0009897426,0.346786,0.114505,0.008085,0.070604,0.023313
22,ghana,sporozoite,PF3D7_0901500,0.0009879909,0.358279,0.120206,0.009438,0.078515,0.026342
23,ghana,sporozoite,PF3D7_1352900,0.0009853594,0.360145,0.120862,0.009476,0.078401,0.026311
24,ghana,ring,PF3D7_0708400,8.44773e-05,0.904104,0.172048,0.012654,0.073548,0.013996
